2021-07-20 09:26:07.909 | DEBUG    | __main__:<module>:949 - update hisinfo_cx set category='[@].',auto_category='[@].',scores = 2. where id = 23402886
2021-07-20 09:26:07.970 | DEBUG    | __main__:<module>:949 - update hisinfo_cx set category='[@].',auto_category='[@].',scores = 2. where id = 23402885
2021-07-20 09:26:08.041 | DEBUG    | __main__:<module>:949 - update hisinfo_cx set category='[@].',auto_category='[@].',scores = 2. where id = 23402884
2021-07-20 09:26:08.132 | DEBUG    | __main__:<module>:949 - update hisinfo_cx set category='[@].',auto_category='[@].',scores = 2. where id = 23402883
2021-07-20 09:26:08.190 | DEBUG    | __main__:<module>:949 - update hisinfo_cx set category='[@].',auto_category='[@].',scores = 2. where id = 23402882
2021-07-20 09:26:08.245 | DEBUG    | __main__:<module>:949 - update hisinfo_cx set category='[@].',auto_category='[@].',scores = 2. where id = 23402881
2021-07-20 09:26:08.302 | DEBUG    | __main__:<module>:949 - update hisinfo_cx set category='.',auto_category='.',scores = 0. where id = 23402828
2021-07-20 09:26:08.359 | DEBUG    | __main__:<module>:949 - update hisinfo_cx set category='.',auto_category='.',scores = 0. where id = 23402763
2021-07-20 09:26:08.450 | DEBUG    | __main__:<module>:949 - update hisinfo_cx set category='[W][F][@][Y].',auto_category='[W][F][@][Y].',scores = 1. where id = 23402762
2021-07-20 09:26:08.642 | DEBUG    | __main__:<module>:949 - update hisinfo_cx set category='[G][Y][A].',auto_category='[G][Y][A].',scores = 0. where id = 23402729
2021-07-20 09:26:08.699 | DEBUG    | __main__:<module>:949 - update hisinfo_cx set category='.',auto_category='.',scores = 0. where id = 23402728
2021-07-20 09:26:08.754 | DEBUG    | __main__:<module>:949 - update hisinfo_cx set category='.',auto_category='.',scores = 0. where id = 23402727
2021-07-20 09:26:09.311 | DEBUG    | __main__:<module>:949 - update hisinfo_cx set category='.',auto_category='.',scores = 0. where id = 23402817
2021-07-20 09:26:09.369 | DEBUG    | __main__:<module>:949 - update hisinfo_cx set category='.',auto_category='.',scores = 0. where id = 23402744
2021-07-20 09:26:09.488 | DEBUG    | __main__:<module>:949 - update hisinfo_cx set category='[J][F][@].',auto_category='[J][F][@].',scores = 2. where id = 23402914
2021-07-20 09:26:11.156 | DEBUG    | __main__:<module>:949 - update hisinfo_cx set category='[T].',auto_category='[T].',scores = 0. where id = 23402966
2021-07-20 09:26:11.215 | DEBUG    | __main__:<module>:949 - update hisinfo_cx set category='[H][@].',auto_category='[H][@].',scores = 1. where id = 23402951
2021-07-20 09:26:11.280 | DEBUG    | __main__:<module>:949 - update hisinfo_cx set category='[S].',auto_category='[S].',scores = 0. where id = 23402935
2021-07-20 09:26:11.336 | DEBUG    | __main__:<module>:949 - update hisinfo_cx set category='[F].',auto_category='[F].',scores = 0. where id = 23402926
2021-07-20 09:26:11.440 | DEBUG    | __main__:<module>:949 - update hisinfo_cx set category='[Y].',auto_category='[Y].',scores = 1. where id = 23402916
2021-07-20 09:26:11.498 | DEBUG    | __main__:<module>:949 - update hisinfo_cx set category='[E].',auto_category='[E].',scores = 0. where id = 23402912
2021-07-20 09:26:11.555 | DEBUG    | __main__:<module>:949 - update hisinfo_cx set category='.',auto_category='.',scores = 0. where id = 23402900
2021-07-20 09:26:11.622 | DEBUG    | __main__:<module>:949 - update hisinfo_cx set category='.',auto_category='.',scores = 0. where id = 23402890
2021-07-20 09:26:11.690 | DEBUG    | __main__:<module>:949 - update hisinfo_cx set category='[Y].',auto_category='[Y].',scores = 0. where id = 23402870
2021-07-20 09:26:11.803 | DEBUG    | __main__:<module>:949 - update hisinfo_cx set category='[Y].',auto_category='[Y].',scores = 0. where id = 23402861
